text,label,predicao,resposta_raw,tokens_s,latencia_s
"cê tá doido kkkkkk cadê o respeito cpt kkk mais puta é vc que não vem falar na nossa cara, piranhaaaaaaaaaaaaaa",insult,not_toxic,NOT_TOXIC,110.4,14.56
@user carioca chato falando merda= 90k de like,insult,not_toxic,NOT_TOXIC,109.1,14.92
@user maior vagabundo que entrou nesta leva,insult,insult,INSULT,125.3,15.25
"quanto + o tempo passa, menos conteúdo é construído, porque qualquer merda é considerada ""de boa qualidade"", por isso só tem gente mongoloide ultimamente, bando de retardados",insult,racism,RACISM,118.0,15.59
"@user Já q o senhor está falando em entrevistas, responde essa por favor. O senhor tb se negou a falar. Canalha
https://t.co/yMVU2odO8z",insult,not_toxic,NOT_TOXIC,105.0,15.96
"@user O pior, que temos um senado acovardado que gostam de fazer críticas seletivas pensando em holofotes da imprensa esquedirtas, como o Alcolumbre q disse q se o Moro fosse senador já teria sido cassado. E contra esses pulhas estão de 4, engavetando tudo.Tropa de FDP.",insult,obscene,OBSCENE,110.6,16.34
"To estudando a história do Maranhão, e mds eu não lembro de mais nada. Inclusive to puto com o fato de que nós poderíamos ter sido colonizados pelos franceses mas as merdas dos portugueses os expulsaram. Já pensou nós Maranhenses falando francês? 

Eu ia ficar um NOOOOOJO",xenophobia,not_toxic,NOT_TOXIC,106.5,16.72
@user @user @user @user @user piranha #mpn #uniters #nowunited,misogyny,not_toxic,NOT_TOXIC,105.5,17.08
"kkkkkkkkkkkkkkkkkkkk ata, confia e depois toma no cu — tudo aprendizado kkkkkkkk https://t.co/iigycjexhi",not_toxic,obscene,OBSCENE,106.1,17.43
"rt @user o 鈥減ara铆so鈥� teve um pre莽o.
a conta chegou. https://t.co/zbuhht6wiy",not_toxic,not_toxic,NOT_TOXIC,104.1,17.78
tomar no cu viu vei,not_toxic,obscene,OBSCENE,107.4,18.13
caralho nem dormir kkkkk,not_toxic,obscene,OBSCENE,112.4,18.48
o frio deixa minha cachorra carente pq não é possível pqp,not_toxic,not_toxic,NOT_TOXIC,106.6,18.83
cheia de ódio puta que pariu,not_toxic,obscene,OBSCENE,110.9,19.18
rt @user nenhum ap por 50 pila o aluguel  toma no cu essas imobiliária tóxica do crl,not_toxic,obscene,OBSCENE,109.4,19.53
pqp acabou a luz,not_toxic,not_toxic,NOT_TOXIC,106.1,19.88
saudades de jogar vôlei e levar bronca,not_toxic,not_toxic,NOT_TOXIC,105.9,20.24
"@user Dois problemas:
1- generalização, nem todo mundo é os clandestino da Amazônia e talz
2- galera vive de energia solar q acha q não usa pau pra nada q N pode derrubar mimimi

E digo mais sobre esses protestos de sofá: vai piorar. 🙄",not_toxic,not_toxic,NOT_TOXIC,102.4,20.64
dia 10 pau vai quebrar não tem jeito,not_toxic,not_toxic,NOT_TOXIC,105.1,20.99
eu trato igual p pessoa se foder msm,not_toxic,not_toxic,NOT_TOXIC,103.3,21.35
"rt @user já está ficando ridículo 
moro divulga nota de associação obscura de “juristas evangélicos” a favor de sua portaria https://…",not_toxic,not_toxic,NOT_TOXIC,104.0,21.71
"@user minha mãe tá tomando um complemento multivitaminico e tá funcionando bem 

tem as pílulas do imecap hair também que eu sei que funciona pq mamãe já tomou, mas elas são meio caras",not_toxic,not_toxic,NOT_TOXIC,106.3,22.07
"💥 Já está disponível em nosso site a Edição n° 17 (Agosto/2019) do periódico SLC - Solução em Licitações e Contratos, que, aliás, está cada mês melhor.

Confira nosso Sumário!

https://t.co/QcGyFHDGb5

""Se Deus é por nós, quem será contra nós?"" (Romanos 8:31b). https://t.co/9kerQxJB5i",not_toxic,not_toxic,NOT_TOXIC,105.2,22.47
"caralho tu vem pra mantena 1 vez no ano pra ficar de casal mano, assim não dá me ajuda ai — kkk ó https://t.co/v3fpthgqfx",not_toxic,not_toxic,NOT_TOXIC,102.9,22.82
"@user novo comunista na área:
- telegram",not_toxic,not_toxic,NOT_TOXIC,102.0,23.18
rt @user paga de apaixonada no wpp e no tt é a brabona kkkkkkkkkkkkkkkk🤮,not_toxic,xenophobia,XENOPHOBIA,99.4,23.56
"me abusei no almoço pqp, que delícia",not_toxic,not_toxic,NOT_TOXIC,107.3,23.92
mano tem umas coisas que me indignam muitooo,not_toxic,not_toxic,NOT_TOXIC,106.5,24.28
@user por que? o que você tá sabendo... conta pra nós!,not_toxic,not_toxic,NOT_TOXIC,102.3,24.64
nem dormir ainda pqp,not_toxic,not_toxic,NOT_TOXIC,105.5,24.99
caralho to rachando do vídeo de ontem kkkkkkk,not_toxic,obscene,OBSCENE,113.5,25.34
pqp que rolê,not_toxic,not_toxic,NOT_TOXIC,106.8,25.69
rt @user o que me representa é o viado https://t.co/muqoxr8zfy,not_toxic,homophobia,HOMOPHOBIA,100.1,26.08
rt @user embalados e emocionadas  é lixo ! https://t.co/hsqbacoclq,not_toxic,homophobia,HOMOPHOBIA,98.6,26.46
@user o jovem descobriu a energia elétrica parabéns,not_toxic,not_toxic,NOT_TOXIC,105.5,26.81
"@user eu tô muito puta hoje vlh, nem respirem perto de mim hoje
#mpn #luansantana #luansantanashow #luanetes",not_toxic,not_toxic,NOT_TOXIC,103.8,27.18
@user @user ô caralho,not_toxic,obscene,OBSCENE,107.3,27.53
"@user Pq mulher sofre tanto né, tinham que dar pelo menos 1 dia para esses cambada de fdps que se dizem homem, ficar na nossa pele, para eles começarem a dar valor...",not_toxic,misogyny,MISOGYNY,101.9,27.89
"Escolhendo uma personalidade para amanhã:
a) adulta, séria e responsável;
b) sunshine kitty, bem influenciada pelo sol em leão;
c) empoderada e bonita pra caralho;
d) cult, do contra, refinada;
e) séria, Kitty, empoderada e cult.",not_toxic,not_toxic,NOT_TOXIC,105.7,28.28
acordei um puta crise alérgica,not_toxic,not_toxic,NOT_TOXIC,103.4,28.64
não sei quem é o mais fudido na vida sentimental né @user,not_toxic,not_toxic,NOT_TOXIC,104.5,29.0
decis茫o do stf coloca em grave risco a estabilidade do pa铆s https://t.co/ra25lhu2uf,not_toxic,not_toxic,NOT_TOXIC,106.3,29.36
"porra, que ódio!!!!!!!!!",not_toxic,not_toxic,NOT_TOXIC,106.6,29.71
fico puto dms falando de hamlet meu segundo livro fav sabe mostre algum respeito ?,not_toxic,not_toxic,NOT_TOXIC,106.0,30.06
eu reclamando todo mês pra fazer tudo de novo depois,not_toxic,not_toxic,NOT_TOXIC,101.0,30.42
"é claro q como flamenguista eu gosto quando vem jogador bom, mas se polarizassem todos os jogadores só em flamengo/palmeiras acho que podia acabar sendo ruim pro campeonato",not_toxic,not_toxic,NOT_TOXIC,105.1,30.78
"rt @user *qualquer um entrando aqui em casa*

o cachorro:

eu vou cheirar o teu cu sim kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk",not_toxic,obscene,OBSCENE,110.4,31.13
tu ajuda ajuda e tomaa no cu,not_toxic,obscene,OBSCENE,107.4,31.47
"feia com força — morde a cara, mô!!😝 https://t.co/oe7ht0lp9g",not_toxic,obscene,OBSCENE,111.9,31.82
"Um crente saudável não é medido “só” pelo apetite dele pelo sobrenatural, mas pelo caráter aprovado. Queria muito que as pessoas entendessem isso!",not_toxic,not_toxic,NOT_TOXIC,104.2,32.18
"@user @user eu mermo não, muita responsabilidade.",not_toxic,not_toxic,NOT_TOXIC,103.2,32.54
"o jeitinho que o carioca fala papo reto, é tão fofo pqp",not_toxic,not_toxic,NOT_TOXIC,106.0,32.89
rt @user @user onde é que estão os teus pais wtf,not_toxic,not_toxic,NOT_TOXIC,106.1,33.25
cada dia uma quentinha diferente kkkkks,not_toxic,not_toxic,NOT_TOXIC,105.4,33.61
"perdi minhas fotos todas, pqp, quem tiver foto cmg manda lá no wpp",not_toxic,not_toxic,NOT_TOXIC,105.8,33.96
gata pra caralho https://t.co/kchcp9gsgz,not_toxic,not_toxic,NOT_TOXIC,105.2,34.31
"ontem parecia que eu estava c bala
de tanta euforia no cu dançando quadrilha c as pessoas que eu gosto",not_toxic,not_toxic,NOT_TOXIC,105.4,34.67
"A doen莽a delas(K) 茅 achar que os meninos s茫o propriedade delas, que eles s贸 podem interagir com elas e mais ningu茅m,isso j谩 passou de rid铆culo a muito tem",not_toxic,not_toxic,NOT_TOXIC,100.0,35.04
@user um mau carater reconhece o outro.,not_toxic,not_toxic,NOT_TOXIC,101.8,35.39
@user @user @user @user eu tb n to entendendo porra nenhuma :/,not_toxic,not_toxic,NOT_TOXIC,104.0,35.75
@user isso deve ser um mecanismo do governo local de cessar a procriação.,not_toxic,misogyny,MISOGYNY,101.2,36.12
"Acordo, me arrumo, me acho linda, vou trabalhar, tenho aquela reunião super proveitosa, passo 2 horas totalmente desligada e focada no trabalho, saio, passo no supermercado, chego em casa, tiro o salto, tiro a maquiagem, deito na cama, tudo vazio, vida vazia, sozinha, um lixo",not_toxic,not_toxic,NOT_TOXIC,103.3,36.51
que role do caralho meus amigosss que roleeee...,not_toxic,not_toxic,NOT_TOXIC,103.3,36.86
parece aquelas minhoca de maçã,not_toxic,not_toxic,NOT_TOXIC,105.7,37.22
eu em todos os meus grupinhos:,not_toxic,not_toxic,NOT_TOXIC,106.6,37.58
"Geovanna Alvarez é aquela gatinha para andar de mão de dadas em qualquer lugar! Linda de rosto, cabelos lisos, jeito delicado, corpo lindo e natural. https://t.co/E1AjY2uzLg

@user @user @user https://t.co/FEtg803nz5",not_toxic,not_toxic,NOT_TOXIC,104.0,37.96
rt @user explana que é hoje porra #gameover,not_toxic,not_toxic,NOT_TOXIC,103.0,38.32
"ai que saco vou fazer trabalho nenhum, estudar p tirar 10 na prova e tá bom",not_toxic,not_toxic,NOT_TOXIC,105.1,38.68
rt @user isto é tão ridículo 🤦🏻‍♀️ https://t.co/m3jeeojyz9,not_toxic,not_toxic,NOT_TOXIC,104.0,39.04
ta muito frio vsf,not_toxic,not_toxic,NOT_TOXIC,103.1,39.4
rt @user n é possível que existe gente que gosta de um tempo lixo desse,not_toxic,not_toxic,NOT_TOXIC,102.8,39.76
@user velho corretor fdp,not_toxic,insult,INSULT,117.6,40.09
@user pqp hein...,not_toxic,not_toxic,NOT_TOXIC,102.2,40.45
"hoje meu pai, um dia desse tinha na tml um tweet romantizando com 2k de rts e 5k de favs",not_toxic,not_toxic,NOT_TOXIC,102.8,40.81
pro vídeo ficar ainda melhor,not_toxic,not_toxic,NOT_TOXIC,101.9,41.16
"Churras de aniversário do Rafa da tikalsurf e do Baiano eugenio_rosa essa raça é boa demais, Barra do Sul na veia. em Boteco dos Brothers https://t.co/PsBe1oVKIs",not_toxic,not_toxic,NOT_TOXIC,99.7,41.52
n茫o n velho a n茫o euhsaienjhuuiaseauisehiua isso daq so pode ser meme,not_toxic,not_toxic,NOT_TOXIC,103.9,41.88
"infelizmente existem pessoas que só estão interessada no que temos pra oferecer e não no que somos, se você para de oferecer o que você tem e passa a oferecer o que você é a pessoa caga pra você, to fora de gente assim.",not_toxic,not_toxic,NOT_TOXIC,100.2,42.24
@user @user que lindo meu deus 😍,not_toxic,not_toxic,NOT_TOXIC,103.0,42.59
"@user escalei os dois tb kkkkk tô torcendo por isso, rodada passada eu tava sem internet e não fiz minha escalação ai ficou a da outra rodada. pensa num negocio que ficou feio",not_toxic,not_toxic,NOT_TOXIC,104.0,42.95
que saco eu peço uma coisa pro meu irmão fazer que é colocar o lixo na rua antes de 12h e ele não faz meud eus eh tão simples pqp,not_toxic,not_toxic,NOT_TOXIC,104.9,43.31
@user tem algum palhaço aki ??,not_toxic,insult,INSULT,128.3,43.64
rt @user saudade da época que nao volta mais... https://t.co/gkwgvecxtc https://t.co/eaqgtnrgdr,not_toxic,not_toxic,NOT_TOXIC,109.7,44.0
@user o que aconteceu?,not_toxic,not_toxic,NOT_TOXIC,108.9,44.36
rt @user acho q 7 de setembro deveria dar tipo 5 pontos...,not_toxic,not_toxic,NOT_TOXIC,110.7,44.72
@user vai sim mano t谩 locao,not_toxic,not_toxic,NOT_TOXIC,111.2,45.07
"vo p festa do roger e a mina tacou bebida em mim, sera q a cao nao me viu la embaixo cacete",not_toxic,not_toxic,NOT_TOXIC,105.5,45.44
@user nenhum,not_toxic,not_toxic,NOT_TOXIC,109.5,45.8
"imagino 000 do sickk num rolê geral bem loco metendo mais o loco ainda, é uma vibe muito fodida, adrenalina da porra",not_toxic,not_toxic,NOT_TOXIC,107.8,46.16
"@user saudades do china. assisti muito seus comentários nos tempos do esporte total. vai com deus, juarez.",not_toxic,not_toxic,NOT_TOXIC,108.0,46.51
"acho sempre necessário você declarar o seu amor pela pessoa, tanto em amizade, ou em algo mais, o importante é dizer pra alguém o quão insubstituível e importante essa pessoa é pra você",not_toxic,not_toxic,NOT_TOXIC,110.8,46.88
rt @user kkkkkkkkkkk eu na vida #mpn #luansantana #luanetes #luansantanashow https://t.co/qfgymrslsy,not_toxic,not_toxic,NOT_TOXIC,111.5,47.24
não to entendendo merda alguma desses limites de funçes reais,not_toxic,not_toxic,NOT_TOXIC,108.5,47.6
"rapaziada, ngm aqui em pouso alegre libera a casa pra uma pré do bailão pousalegrense n? kkkkkkk dividimos lucro",not_toxic,not_toxic,NOT_TOXIC,110.3,47.96
@user deve ser um deus sim https://t.co/7rcxrqleka,not_toxic,not_toxic,NOT_TOXIC,111.9,48.31
eu fico abismada com gente que tem muita dificuldade pra superar ex pq é tao irracional (???) nao faz sentido na minha cabeça,not_toxic,not_toxic,NOT_TOXIC,111.1,48.67
eu tentando fazer alguma coisa certa,not_toxic,not_toxic,NOT_TOXIC,111.7,49.03
rt @user meu deus esse jogo tá do caramba pqp #voleinosportv,not_toxic,not_toxic,NOT_TOXIC,106.7,49.39
e @user  igual aquele🥵,not_toxic,not_toxic,NOT_TOXIC,111.4,49.75
"rt @user mano tenho que pensar mais em mim, eu faço de tudo pra ver a galera feliz, e o povo não move uma palha p me ver bem aaa v…",not_toxic,not_toxic,NOT_TOXIC,111.3,50.11
"Tenho uma pessoa no meu wpp que todo dia ela coloca no status a rotina dela. Hj tá assim: ""acordei"" ""dor de cabeça"" ""preciso ir no médico"" ""estou andando até o postinho""

Porra vai logo antes que tu tenha um avc e para de querer ser vlogueirinha",not_toxic,insult,INSULT,121.6,50.47
ai porra,not_toxic,not_toxic,NOT_TOXIC,108.3,50.82
que lindeza,not_toxic,not_toxic,NOT_TOXIC,106.5,51.18
meu vizinho tá ouvindo música desde as 8 da manhã pqp eu só queria ficar em paz lendo mas tá impossível,not_toxic,not_toxic,NOT_TOXIC,106.2,51.54
rt @user safado botou o primo novinho pra sentar na pica https://t.co/3wgcxhrket,not_toxic,obscene,OBSCENE,104.9,51.88
kkkkkkkkkkkkkkkkkkkkkkkkkk eu to com dor de tanto rir,not_toxic,not_toxic,NOT_TOXIC,106.6,52.24
"@user se algu茅m falasse que me explicaria por 1000 conto, eu pagava, pq pqp ne",not_toxic,not_toxic,NOT_TOXIC,106.5,52.6
@user @user nom é não fica tranquilo ele ta vivo,not_toxic,not_toxic,NOT_TOXIC,106.6,52.95
"morrendo de dor e essa porra n desce de jeito nenhum, sofro 😡😡😡",not_toxic,not_toxic,NOT_TOXIC,103.9,53.32
caraca minha sobrinha é perfeita demais mano,not_toxic,not_toxic,NOT_TOXIC,105.5,53.68
to desde ontem tentando não chorar e surtar mas tá cada vez pior vo desativa p n fica tweetando bosta,not_toxic,not_toxic,NOT_TOXIC,106.7,54.04
mês que vem já é meu aniversário 🙄😱 tá passando rápido dms,not_toxic,not_toxic,NOT_TOXIC,105.6,54.39
toda vez q esse video passa na minha tl eu sou obrigada a ver inteiro e eu comeco a rir sempre,not_toxic,not_toxic,NOT_TOXIC,106.5,54.75
kepa vacilando pra caralho hoje.,not_toxic,obscene,OBSCENE,113.3,55.09
único argumento dos colorados pqp,not_toxic,not_toxic,NOT_TOXIC,102.4,55.45
meu rolê ontem teria sido perfeito se não tivesse terminado comigo chegando em casa e achado mais um gato meu atropelado na porra da rua,not_toxic,not_toxic,NOT_TOXIC,107.4,55.8
rt @user ai a internet da oi é um lixo,not_toxic,not_toxic,NOT_TOXIC,103.7,56.16
fala m sumiu,not_toxic,not_toxic,NOT_TOXIC,104.9,56.51
me jogou no lixo e os amiguinhos reciclou 🤤🎶,not_toxic,not_toxic,NOT_TOXIC,105.0,56.87
"Eu chego a tremer de raiva de ver coisas assim PQP EU TENHO NOJO DE GENTE RACISTA, MAIS AINDA DE RACISTA QUE ABUSA DA AUTORIDADE",not_toxic,racism,RACISM,112.3,57.22
saudades da iasmin de 2017 eu era gótica demais pqp,not_toxic,not_toxic,NOT_TOXIC,107.9,57.57
aeeeee caralho vem tóquio #voleinaglobo,not_toxic,not_toxic,NOT_TOXIC,105.1,57.93
"Na direita ocorre o mesmo, mas a direita (a liberal) tem mais facilidade de apoiar uma verdade de esquerda, do que a esquerda de apoiar uma de direita.",not_toxic,not_toxic,NOT_TOXIC,101.6,58.29
@user @user @user que braveza gente !!!,not_toxic,not_toxic,NOT_TOXIC,108.1,58.64
rt @user brigada https://t.co/alhiu6xhpw,not_toxic,not_toxic,NOT_TOXIC,104.6,59.0
rt @user ligando pra porra nenhuma 🍃😴 https://t.co/mvy5yvpc9o,not_toxic,not_toxic,NOT_TOXIC,104.2,59.36
ahhhhh vtnc mano kkkkkkk,not_toxic,not_toxic,NOT_TOXIC,107.1,59.72
rt @user eu morro ali msm https://t.co/etivoal3wn,not_toxic,not_toxic,NOT_TOXIC,106.9,60.07
"pqp meu coração ainda acelera toda vez que chega msg, diabo msm",not_toxic,not_toxic,NOT_TOXIC,105.5,60.43
"Doenças são malditas. A gente geralmente n liga quando são com pessoas aleatórias (e deveríamos ligar, ter empatia), mas quando afetam alguém especial é totalmente diferente.",not_toxic,not_toxic,NOT_TOXIC,105.4,60.78
rt @user mano pleno século 21 e tem namoradinho te chamando na dm surtando pq vc curtiu algo da namorada dele ??????? mano kkkkkkk vai…,not_toxic,not_toxic,NOT_TOXIC,103.0,61.14
4 pessoas vieram falar que eu tava feia hoje na aula kkkkkkk que que sono e uma gripe nao faz nee,not_toxic,not_toxic,NOT_TOXIC,104.3,61.5
"@user a receita não aumentou! 

o real é que desvalorizou demais e portanto na conversão parece que é muito mais dinheiro...",not_toxic,not_toxic,NOT_TOXIC,103.3,61.86
"@user acredite não amor, eu sou um lixo",not_toxic,not_toxic,NOT_TOXIC,105.5,62.22
"[03/08/2019 10:07:29 AM]: Da uma segurada ai frozen,sua frieza fudeu com o sábado 
[03/08/2019 10:08:39 AM]: Lerigou
 [03/08/2019 10:08:56 AM]: Tomar no cu Dani",not_toxic,insult,INSULT,120.8,62.58
"馃専 A fancam de 鈥楤oy With Luv鈥� do V representou o @user no #MGMA 2019 e deu o daesang THE TOP VIDEO ao grupo! 馃帀

V teve a fancam mais popular da M2 com 500 mil likes e 61 milh玫es de views! 馃惎馃挏

馃敆https://t.co/4AvBOukpb3
漏 vsnatchedmysoul https://t.co/h0nxE1njUF",not_toxic,not_toxic,NOT_TOXIC,105.1,62.98
cacete eu,not_toxic,not_toxic,NOT_TOXIC,105.3,63.35
@user eita pau pereira!,not_toxic,obscene,OBSCENE,112.5,63.69
@user comunista falando em dividir o povo kkk piada,not_toxic,not_toxic,NOT_TOXIC,105.5,64.04
@user por que o glenn tá de peruca?,not_toxic,not_toxic,NOT_TOXIC,102.8,64.41
"oitnb é uma série do caralho, última temporada e vieram problematizando mais do que nunca as péssimas condições das presidiárias, os abusos sexuais, pagamento igualitário entre homens e mulheres,questão das imigrantes nos eua. meu total respeito. #OITNBForever #OITNBfinalseason",not_toxic,not_toxic,NOT_TOXIC,106.3,64.79
a @user fica falando mal do blackpink mas no carro dela ela poe kiss and make up no volume maximo ✌🏻😭👍🏻,not_toxic,not_toxic,NOT_TOXIC,101.7,65.15
@user como eles adoram tirar foto assim...,not_toxic,not_toxic,NOT_TOXIC,105.1,65.51
"@user nem assim, c dorme 3h passa 2 seg",not_toxic,not_toxic,NOT_TOXIC,106.5,65.87
@user vc tá  vendo por onde?,not_toxic,not_toxic,NOT_TOXIC,105.3,66.23
não acredito q chorei assistindo capitão américa guerra civil por causa do tony stark,not_toxic,not_toxic,NOT_TOXIC,106.7,66.58
"Harry durante uma conversa com o Nick Grimshaw [Entrevistador] para a BBC rádio em 2012. 

N: ""Harry Styles está grávido, e o Louis Tomlinson é o pai. Você pode confirmar ou negar?""

H: ""Eu pensei que fosse verdade, e aparentemente não é.""

N: ""Você fez o teste? 

H: ""Sim."" https://t.co/cEqO0VVLDn",not_toxic,not_toxic,NOT_TOXIC,104.2,66.97
foto do séc,not_toxic,not_toxic,NOT_TOXIC,102.1,67.32
"não sei pra onde vou pqp, se vou pro ngm da clara ou curto o aniversário da minha fecha",not_toxic,not_toxic,NOT_TOXIC,105.3,67.69
ai que gostoso,not_toxic,not_toxic,NOT_TOXIC,106.7,68.05
só quero tomar um vinhozinho com minha miga e chorar,not_toxic,not_toxic,NOT_TOXIC,105.9,68.4
vou deixar isso aqui https://t.co/rheifjtgvo,not_toxic,not_toxic,NOT_TOXIC,106.4,68.76
"@user falar igual meu amigo rodsflora "" a que pinto chegamos?""",not_toxic,not_toxic,NOT_TOXIC,104.2,69.12
"rt @user s
t
f

superior tribunal de fuleiros 
#stfvergonhanacional",not_toxic,not_toxic,NOT_TOXIC,101.9,69.48
"hum to triste vou tentar fazer esse vídeo chegar a 1m
https://t.co/n55uitfhjj",not_toxic,not_toxic,NOT_TOXIC,104.6,69.83
"@user a história da Barbara Querino que está presa depois de sofrer vários erros processuais e ser reconhecida pela vítima por causa dos cabelos encaracolados. 5 anos de prisão. insiste ser inocente, ngn a ouve.",not_toxic,not_toxic,NOT_TOXIC,99.2,70.19
"frio dms pra roupa que eu queria usar, af vsf",not_toxic,not_toxic,NOT_TOXIC,104.5,70.56
"mas pqp viu mano vai fazer algo que tu gosta sla, so nao fica falando merda nao vlw",not_toxic,not_toxic,NOT_TOXIC,104.4,70.92
"fico olhando nossas fotos e fico, “pqp eu sou um verme que deixou uma pessoa assim escapar”",not_toxic,not_toxic,NOT_TOXIC,101.1,71.27
"O maior monopólio de ensino do mundo quer usar a educação básica pra gerar mais lucro. A Constituição Federal garante que a educação é responsabilidade do Estado. Nossa luta continua sendo pela educação pública, gratuita e de qualidade! Dia 13 vamos às ruas! 👊 #Tsunami13A https://t.co/cOfucid3yc",not_toxic,not_toxic,NOT_TOXIC,104.3,71.66
"Minha vida toda ajudei pessoas, incentivei pessoas, fiz com que pessoas sa铆ssem da posi莽茫o de v铆tima para protagonista da vida. Estar de m茫os dadas com aqueles que mais precisam, talvez seja esse o sentido da vida.",not_toxic,not_toxic,NOT_TOXIC,104.6,76.06
"Hoje temos o inicio da Ginastica Ritmítica nos Jogos Pan-Americanos. Teremos a classificação do individual geral.
Bárbara Domingos (no Aro e Bola); Natália Gaudio (Bola e Bola); Além do conjunto de 5 bolas.

#PanNaRecordNews #ZDCnoPan #Lima2019 #PanNoSportv https://t.co/sWvaoQsVj2",not_toxic,not_toxic,NOT_TOXIC,102.5,76.45
"rt @user eu n茫o conquisto nada, acho q sou o internacional https://t.co/e60rwerzow",not_toxic,not_toxic,NOT_TOXIC,102.8,76.81
"meu deus vai se foder ate parece que elas tem liberdade pra fazerem o que querem ne

eh tudo 100% coreografado e planejado e elas obviamente sao obrigadas a seguir isso",not_toxic,not_toxic,NOT_TOXIC,100.4,77.17
@user maria flor #mpn #nowunited #uniters,not_toxic,not_toxic,NOT_TOXIC,102.3,77.53
depois q eu quase morri no hospital eu dou muito valor nisso,not_toxic,not_toxic,NOT_TOXIC,110.8,77.88
"tô vendo vôlei do brasil e pqp 
tá uma merda",not_toxic,not_toxic,NOT_TOXIC,111.1,78.24
mano eu não estou com raiva... estou com ódio q é bem pior.,not_toxic,not_toxic,NOT_TOXIC,110.4,78.59
