text,label,predicao,resposta_raw,tokens_s,latencia_s
@user providencia gorda,insult,misogyny,MISOGYNY,102.8,9.15
banho no gordo https://t.co/lid0ibfoni,insult,not_toxic,NOT_TOXIC,106.8,9.42
eu ai me agarrava nessa infeliz e descia unhada e tapa nela vsf fã coreana nao tem um pingo de simancol,insult,not_toxic,NOT_TOXIC,104.5,9.7
@user @user tropinha é ridiculo olha o nome da sua guild mlk fbi tu ta de sacanagem,insult,not_toxic,NOT_TOXIC,105.8,9.98
@user tu mãe vagabundo,insult,insult,INSULT,120.8,10.23
"rt @user pior coisa é homem escroto, ó raça fdp",insult,racism,RACISM,111.0,10.49
fizeram um videozinho que o @user ficou um pouco mais demente kkkkkkkkkkkkkkk https://t.co/pxsket3gma,insult,insult,INSULT,121.4,10.74
"@user @user @user SÓ drogado noiado,não vão convidar a escrava Isaura, não perceberam que hoje vcs artistas defensores do socialismo viraram chacota,não influenciam ninguém além da turminha insana ,não tem efeito na maioria do povo os protestinhos seus hipócritas.",insult,obscene,OBSCENE,104.6,11.03
"@user @user Onde Lula está, só entra comunista petista. Ali sim, é deposito de lixo, seu dia está chegando e até 2022, todos os petistas estarão na mesma lixeira. 🔫🔫🔫",insult,not_toxic,NOT_TOXIC,106.6,11.32
"Olha Deus me livre de ter uma irma igual a bia ,alem de ser pessima irma é uma pessima tia ! Nao faz nada em casa nao lava uma louça nao varre uma casa,nao faz A PROPRIA COMIDA,duvido ate se toma banho ,nao sei quando vai acordar pra vida so vive no celular essa porra",insult,misogyny,MISOGYNY,100.4,11.62
@user @user para um idiota que conta os dias para eleger o ciro! to no lucro,insult,not_toxic,NOT_TOXIC,100.0,11.9
cara torta da porra https://t.co/h3o6iwehjx,insult,insult,INSULT,123.0,12.15
"cê tá doido kkkkkk cadê o respeito cpt kkk mais puta é vc que não vem falar na nossa cara, piranhaaaaaaaaaaaaaa",insult,obscene,OBSCENE,111.9,12.41
@user carioca chato falando merda= 90k de like,insult,not_toxic,NOT_TOXIC,106.6,12.68
@user maior vagabundo que entrou nesta leva,insult,insult,INSULT,119.8,12.93
"quanto + o tempo passa, menos conteúdo é construído, porque qualquer merda é considerada ""de boa qualidade"", por isso só tem gente mongoloide ultimamente, bando de retardados",insult,racism,RACISM,110.4,13.2
"@user Já q o senhor está falando em entrevistas, responde essa por favor. O senhor tb se negou a falar. Canalha
https://t.co/yMVU2odO8z",insult,insult,INSULT,120.5,13.44
"@user O pior, que temos um senado acovardado que gostam de fazer críticas seletivas pensando em holofotes da imprensa esquedirtas, como o Alcolumbre q disse q se o Moro fosse senador já teria sido cassado. E contra esses pulhas estão de 4, engavetando tudo.Tropa de FDP.",insult,obscene,OBSCENE,104.5,13.72
"To estudando a história do Maranhão, e mds eu não lembro de mais nada. Inclusive to puto com o fato de que nós poderíamos ter sido colonizados pelos franceses mas as merdas dos portugueses os expulsaram. Já pensou nós Maranhenses falando francês? 

Eu ia ficar um NOOOOOJO",xenophobia,obscene,OBSCENE,112.4,14.0
@user @user @user @user @user piranha #mpn #uniters #nowunited,misogyny,not_toxic,NOT_TOXIC,99.5,14.28
"kkkkkkkkkkkkkkkkkkkk ata, confia e depois toma no cu — tudo aprendizado kkkkkkkk https://t.co/iigycjexhi",not_toxic,obscene,OBSCENE,110.0,14.54
"rt @user o 鈥減ara铆so鈥� teve um pre莽o.
a conta chegou. https://t.co/zbuhht6wiy",not_toxic,not_toxic,NOT_TOXIC,105.6,14.82
tomar no cu viu vei,not_toxic,obscene,OBSCENE,113.2,15.08
caralho nem dormir kkkkk,not_toxic,obscene,OBSCENE,112.7,15.33
o frio deixa minha cachorra carente pq não é possível pqp,not_toxic,not_toxic,NOT_TOXIC,107.9,15.6
cheia de ódio puta que pariu,not_toxic,obscene,OBSCENE,113.6,15.86
rt @user nenhum ap por 50 pila o aluguel  toma no cu essas imobiliária tóxica do crl,not_toxic,obscene,OBSCENE,111.9,16.12
pqp acabou a luz,not_toxic,obscene,OBSCENE,113.1,16.38
saudades de jogar vôlei e levar bronca,not_toxic,not_toxic,NOT_TOXIC,106.7,16.64
"@user Dois problemas:
1- generalização, nem todo mundo é os clandestino da Amazônia e talz
2- galera vive de energia solar q acha q não usa pau pra nada q N pode derrubar mimimi

E digo mais sobre esses protestos de sofá: vai piorar. 🙄",not_toxic,not_toxic,NOT_TOXIC,102.5,16.94
dia 10 pau vai quebrar não tem jeito,not_toxic,not_toxic,NOT_TOXIC,105.5,17.22
eu trato igual p pessoa se foder msm,not_toxic,obscene,OBSCENE,113.5,17.48
"rt @user já está ficando ridículo 
moro divulga nota de associação obscura de “juristas evangélicos” a favor de sua portaria https://…",not_toxic,not_toxic,NOT_TOXIC,109.6,17.76
"@user minha mãe tá tomando um complemento multivitaminico e tá funcionando bem 

tem as pílulas do imecap hair também que eu sei que funciona pq mamãe já tomou, mas elas são meio caras",not_toxic,not_toxic,NOT_TOXIC,110.7,18.04
"💥 Já está disponível em nosso site a Edição n° 17 (Agosto/2019) do periódico SLC - Solução em Licitações e Contratos, que, aliás, está cada mês melhor.

Confira nosso Sumário!

https://t.co/QcGyFHDGb5

""Se Deus é por nós, quem será contra nós?"" (Romanos 8:31b). https://t.co/9kerQxJB5i",not_toxic,not_toxic,NOT_TOXIC,105.1,18.34
"caralho tu vem pra mantena 1 vez no ano pra ficar de casal mano, assim não dá me ajuda ai — kkk ó https://t.co/v3fpthgqfx",not_toxic,obscene,OBSCENE,109.5,18.6
"@user novo comunista na área:
- telegram",not_toxic,not_toxic,NOT_TOXIC,109.5,18.88
rt @user paga de apaixonada no wpp e no tt é a brabona kkkkkkkkkkkkkkkk🤮,not_toxic,insult,INSULT,125.4,19.13
"me abusei no almoço pqp, que delícia",not_toxic,obscene,OBSCENE,110.4,19.39
mano tem umas coisas que me indignam muitooo,not_toxic,not_toxic,NOT_TOXIC,108.2,19.67
@user por que? o que você tá sabendo... conta pra nós!,not_toxic,not_toxic,NOT_TOXIC,109.9,19.94
nem dormir ainda pqp,not_toxic,obscene,OBSCENE,113.4,20.2
caralho to rachando do vídeo de ontem kkkkkkk,not_toxic,not_toxic,NOT_TOXIC,111.1,20.47
pqp que rolê,not_toxic,obscene,OBSCENE,117.4,20.73
rt @user o que me representa é o viado https://t.co/muqoxr8zfy,not_toxic,homophobia,HOMOPHOBIA,104.3,21.03
rt @user embalados e emocionadas  é lixo ! https://t.co/hsqbacoclq,not_toxic,obscene,OBSCENE,113.1,21.29
@user o jovem descobriu a energia elétrica parabéns,not_toxic,not_toxic,NOT_TOXIC,108.8,21.56
"@user eu tô muito puta hoje vlh, nem respirem perto de mim hoje
#mpn #luansantana #luansantanashow #luanetes",not_toxic,misogyny,MISOGYNY,106.7,21.85
@user @user ô caralho,not_toxic,obscene,OBSCENE,114.6,22.1
"@user Pq mulher sofre tanto né, tinham que dar pelo menos 1 dia para esses cambada de fdps que se dizem homem, ficar na nossa pele, para eles começarem a dar valor...",not_toxic,misogyny,MISOGYNY,105.6,22.39
"Escolhendo uma personalidade para amanhã:
a) adulta, séria e responsável;
b) sunshine kitty, bem influenciada pelo sol em leão;
c) empoderada e bonita pra caralho;
d) cult, do contra, refinada;
e) séria, Kitty, empoderada e cult.",not_toxic,not_toxic,NOT_TOXIC,102.6,22.69
acordei um puta crise alérgica,not_toxic,not_toxic,NOT_TOXIC,106.1,22.96
não sei quem é o mais fudido na vida sentimental né @user,not_toxic,not_toxic,NOT_TOXIC,109.0,23.23
decis茫o do stf coloca em grave risco a estabilidade do pa铆s https://t.co/ra25lhu2uf,not_toxic,not_toxic,NOT_TOXIC,110.1,23.51
"porra, que ódio!!!!!!!!!",not_toxic,obscene,OBSCENE,117.0,23.77
fico puto dms falando de hamlet meu segundo livro fav sabe mostre algum respeito ?,not_toxic,not_toxic,NOT_TOXIC,108.6,24.04
eu reclamando todo mês pra fazer tudo de novo depois,not_toxic,not_toxic,NOT_TOXIC,109.5,24.31
"é claro q como flamenguista eu gosto quando vem jogador bom, mas se polarizassem todos os jogadores só em flamengo/palmeiras acho que podia acabar sendo ruim pro campeonato",not_toxic,not_toxic,NOT_TOXIC,108.3,24.59
"rt @user *qualquer um entrando aqui em casa*

o cachorro:

eu vou cheirar o teu cu sim kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk",not_toxic,obscene,OBSCENE,116.0,24.86
tu ajuda ajuda e tomaa no cu,not_toxic,obscene,OBSCENE,110.4,25.12
"feia com força — morde a cara, mô!!😝 https://t.co/oe7ht0lp9g",not_toxic,not_toxic,NOT_TOXIC,113.2,25.39
"Um crente saudável não é medido “só” pelo apetite dele pelo sobrenatural, mas pelo caráter aprovado. Queria muito que as pessoas entendessem isso!",not_toxic,not_toxic,NOT_TOXIC,104.2,25.68
"@user @user eu mermo não, muita responsabilidade.",not_toxic,not_toxic,NOT_TOXIC,108.4,25.95
"o jeitinho que o carioca fala papo reto, é tão fofo pqp",not_toxic,not_toxic,NOT_TOXIC,108.0,26.24
rt @user @user onde é que estão os teus pais wtf,not_toxic,not_toxic,NOT_TOXIC,109.8,26.51
cada dia uma quentinha diferente kkkkks,not_toxic,not_toxic,NOT_TOXIC,107.6,26.78
"perdi minhas fotos todas, pqp, quem tiver foto cmg manda lá no wpp",not_toxic,not_toxic,NOT_TOXIC,107.8,27.05
gata pra caralho https://t.co/kchcp9gsgz,not_toxic,obscene,OBSCENE,110.7,27.31
"ontem parecia que eu estava c bala
de tanta euforia no cu dançando quadrilha c as pessoas que eu gosto",not_toxic,not_toxic,NOT_TOXIC,105.4,27.59
"A doen莽a delas(K) 茅 achar que os meninos s茫o propriedade delas, que eles s贸 podem interagir com elas e mais ningu茅m,isso j谩 passou de rid铆culo a muito tem",not_toxic,not_toxic,NOT_TOXIC,98.9,27.87
@user um mau carater reconhece o outro.,not_toxic,not_toxic,NOT_TOXIC,102.9,28.15
@user @user @user @user eu tb n to entendendo porra nenhuma :/,not_toxic,obscene,OBSCENE,111.8,28.41
@user isso deve ser um mecanismo do governo local de cessar a procriação.,not_toxic,not_toxic,NOT_TOXIC,109.3,28.68
"Acordo, me arrumo, me acho linda, vou trabalhar, tenho aquela reunião super proveitosa, passo 2 horas totalmente desligada e focada no trabalho, saio, passo no supermercado, chego em casa, tiro o salto, tiro a maquiagem, deito na cama, tudo vazio, vida vazia, sozinha, um lixo",not_toxic,not_toxic,NOT_TOXIC,99.2,28.98
que role do caralho meus amigosss que roleeee...,not_toxic,obscene,OBSCENE,107.1,29.24
parece aquelas minhoca de maçã,not_toxic,not_toxic,NOT_TOXIC,109.4,29.51
eu em todos os meus grupinhos:,not_toxic,not_toxic,NOT_TOXIC,102.2,29.79
"Geovanna Alvarez é aquela gatinha para andar de mão de dadas em qualquer lugar! Linda de rosto, cabelos lisos, jeito delicado, corpo lindo e natural. https://t.co/E1AjY2uzLg

@user @user @user https://t.co/FEtg803nz5",not_toxic,obscene,OBSCENE,105.8,30.06
rt @user explana que é hoje porra #gameover,not_toxic,not_toxic,NOT_TOXIC,101.6,30.33
"ai que saco vou fazer trabalho nenhum, estudar p tirar 10 na prova e tá bom",not_toxic,not_toxic,NOT_TOXIC,106.3,30.61
rt @user isto é tão ridículo 🤦🏻‍♀️ https://t.co/m3jeeojyz9,not_toxic,not_toxic,NOT_TOXIC,107.7,30.88
ta muito frio vsf,not_toxic,not_toxic,NOT_TOXIC,110.4,31.15
rt @user n é possível que existe gente que gosta de um tempo lixo desse,not_toxic,not_toxic,NOT_TOXIC,107.6,31.42
@user velho corretor fdp,not_toxic,obscene,OBSCENE,113.0,31.68
@user pqp hein...,not_toxic,obscene,OBSCENE,116.3,31.94
"hoje meu pai, um dia desse tinha na tml um tweet romantizando com 2k de rts e 5k de favs",not_toxic,not_toxic,NOT_TOXIC,108.5,32.22
pro vídeo ficar ainda melhor,not_toxic,not_toxic,NOT_TOXIC,108.5,32.48
"Churras de aniversário do Rafa da tikalsurf e do Baiano eugenio_rosa essa raça é boa demais, Barra do Sul na veia. em Boteco dos Brothers https://t.co/PsBe1oVKIs",not_toxic,not_toxic,NOT_TOXIC,98.3,32.77
n茫o n velho a n茫o euhsaienjhuuiaseauisehiua isso daq so pode ser meme,not_toxic,not_toxic,NOT_TOXIC,102.2,33.05
"infelizmente existem pessoas que só estão interessada no que temos pra oferecer e não no que somos, se você para de oferecer o que você tem e passa a oferecer o que você é a pessoa caga pra você, to fora de gente assim.",not_toxic,not_toxic,NOT_TOXIC,98.4,33.33
@user @user que lindo meu deus 😍,not_toxic,not_toxic,NOT_TOXIC,102.6,33.61
"@user escalei os dois tb kkkkk tô torcendo por isso, rodada passada eu tava sem internet e não fiz minha escalação ai ficou a da outra rodada. pensa num negocio que ficou feio",not_toxic,not_toxic,NOT_TOXIC,106.2,33.88
que saco eu peço uma coisa pro meu irmão fazer que é colocar o lixo na rua antes de 12h e ele não faz meud eus eh tão simples pqp,not_toxic,not_toxic,NOT_TOXIC,109.3,34.16
@user tem algum palhaço aki ??,not_toxic,insult,INSULT,120.9,34.4
rt @user saudade da época que nao volta mais... https://t.co/gkwgvecxtc https://t.co/eaqgtnrgdr,not_toxic,not_toxic,NOT_TOXIC,104.6,34.67
@user o que aconteceu?,not_toxic,not_toxic,NOT_TOXIC,106.1,34.95
rt @user acho q 7 de setembro deveria dar tipo 5 pontos...,not_toxic,not_toxic,NOT_TOXIC,103.1,35.22
@user vai sim mano t谩 locao,not_toxic,not_toxic,NOT_TOXIC,102.8,35.49
"vo p festa do roger e a mina tacou bebida em mim, sera q a cao nao me viu la embaixo cacete",not_toxic,obscene,OBSCENE,110.3,35.75
@user nenhum,not_toxic,not_toxic,NOT_TOXIC,106.8,36.01
"imagino 000 do sickk num rolê geral bem loco metendo mais o loco ainda, é uma vibe muito fodida, adrenalina da porra",not_toxic,not_toxic,NOT_TOXIC,105.2,36.29
"@user saudades do china. assisti muito seus comentários nos tempos do esporte total. vai com deus, juarez.",not_toxic,not_toxic,NOT_TOXIC,105.8,36.56
"acho sempre necessário você declarar o seu amor pela pessoa, tanto em amizade, ou em algo mais, o importante é dizer pra alguém o quão insubstituível e importante essa pessoa é pra você",not_toxic,not_toxic,NOT_TOXIC,104.5,36.84
rt @user kkkkkkkkkkk eu na vida #mpn #luansantana #luanetes #luansantanashow https://t.co/qfgymrslsy,not_toxic,not_toxic,NOT_TOXIC,102.1,37.12
não to entendendo merda alguma desses limites de funçes reais,not_toxic,not_toxic,NOT_TOXIC,106.7,37.39
"rapaziada, ngm aqui em pouso alegre libera a casa pra uma pré do bailão pousalegrense n? kkkkkkk dividimos lucro",not_toxic,not_toxic,NOT_TOXIC,102.9,37.67
@user deve ser um deus sim https://t.co/7rcxrqleka,not_toxic,not_toxic,NOT_TOXIC,103.5,37.95
eu fico abismada com gente que tem muita dificuldade pra superar ex pq é tao irracional (???) nao faz sentido na minha cabeça,not_toxic,not_toxic,NOT_TOXIC,106.4,38.23
eu tentando fazer alguma coisa certa,not_toxic,not_toxic,NOT_TOXIC,104.9,38.5
rt @user meu deus esse jogo tá do caramba pqp #voleinosportv,not_toxic,obscene,OBSCENE,107.8,38.76
e @user  igual aquele🥵,not_toxic,obscene,OBSCENE,110.8,39.02
"rt @user mano tenho que pensar mais em mim, eu faço de tudo pra ver a galera feliz, e o povo não move uma palha p me ver bem aaa v…",not_toxic,obscene,OBSCENE,110.7,39.28
"Tenho uma pessoa no meu wpp que todo dia ela coloca no status a rotina dela. Hj tá assim: ""acordei"" ""dor de cabeça"" ""preciso ir no médico"" ""estou andando até o postinho""

Porra vai logo antes que tu tenha um avc e para de querer ser vlogueirinha",not_toxic,obscene,OBSCENE,104.8,39.56
ai porra,not_toxic,not_toxic,NOT_TOXIC,99.9,39.84
que lindeza,not_toxic,not_toxic,NOT_TOXIC,105.5,40.11
meu vizinho tá ouvindo música desde as 8 da manhã pqp eu só queria ficar em paz lendo mas tá impossível,not_toxic,not_toxic,NOT_TOXIC,104.8,40.38
rt @user safado botou o primo novinho pra sentar na pica https://t.co/3wgcxhrket,not_toxic,obscene,OBSCENE,107.7,40.64
kkkkkkkkkkkkkkkkkkkkkkkkkk eu to com dor de tanto rir,not_toxic,not_toxic,NOT_TOXIC,105.5,40.92
"@user se algu茅m falasse que me explicaria por 1000 conto, eu pagava, pq pqp ne",not_toxic,obscene,OBSCENE,109.2,41.18
@user @user nom é não fica tranquilo ele ta vivo,not_toxic,not_toxic,NOT_TOXIC,104.4,41.45
"morrendo de dor e essa porra n desce de jeito nenhum, sofro 😡😡😡",not_toxic,not_toxic,NOT_TOXIC,107.3,41.73
caraca minha sobrinha é perfeita demais mano,not_toxic,not_toxic,NOT_TOXIC,105.0,42.0
to desde ontem tentando não chorar e surtar mas tá cada vez pior vo desativa p n fica tweetando bosta,not_toxic,not_toxic,NOT_TOXIC,105.0,42.27
mês que vem já é meu aniversário 🙄😱 tá passando rápido dms,not_toxic,not_toxic,NOT_TOXIC,105.4,42.55
toda vez q esse video passa na minha tl eu sou obrigada a ver inteiro e eu comeco a rir sempre,not_toxic,not_toxic,NOT_TOXIC,104.4,42.83
kepa vacilando pra caralho hoje.,not_toxic,not_toxic,NOT_TOXIC,107.3,43.09
único argumento dos colorados pqp,not_toxic,obscene,OBSCENE,111.1,43.35
meu rolê ontem teria sido perfeito se não tivesse terminado comigo chegando em casa e achado mais um gato meu atropelado na porra da rua,not_toxic,not_toxic,NOT_TOXIC,107.6,43.62
rt @user ai a internet da oi é um lixo,not_toxic,not_toxic,NOT_TOXIC,105.9,43.89
fala m sumiu,not_toxic,not_toxic,NOT_TOXIC,107.0,44.16
me jogou no lixo e os amiguinhos reciclou 🤤🎶,not_toxic,not_toxic,NOT_TOXIC,106.2,44.44
"Eu chego a tremer de raiva de ver coisas assim PQP EU TENHO NOJO DE GENTE RACISTA, MAIS AINDA DE RACISTA QUE ABUSA DA AUTORIDADE",not_toxic,racism,RACISM,113.0,44.7
saudades da iasmin de 2017 eu era gótica demais pqp,not_toxic,not_toxic,NOT_TOXIC,107.4,44.97
aeeeee caralho vem tóquio #voleinaglobo,not_toxic,obscene,OBSCENE,112.9,45.23
"Na direita ocorre o mesmo, mas a direita (a liberal) tem mais facilidade de apoiar uma verdade de esquerda, do que a esquerda de apoiar uma de direita.",not_toxic,not_toxic,NOT_TOXIC,104.6,45.5
@user @user @user que braveza gente !!!,not_toxic,not_toxic,NOT_TOXIC,105.9,45.77
rt @user brigada https://t.co/alhiu6xhpw,not_toxic,not_toxic,NOT_TOXIC,105.3,46.04
rt @user ligando pra porra nenhuma 🍃😴 https://t.co/mvy5yvpc9o,not_toxic,not_toxic,NOT_TOXIC,107.3,46.31
ahhhhh vtnc mano kkkkkkk,not_toxic,not_toxic,NOT_TOXIC,106.8,46.58
rt @user eu morro ali msm https://t.co/etivoal3wn,not_toxic,not_toxic,NOT_TOXIC,106.8,46.85
"pqp meu coração ainda acelera toda vez que chega msg, diabo msm",not_toxic,not_toxic,NOT_TOXIC,107.0,47.12
"Doenças são malditas. A gente geralmente n liga quando são com pessoas aleatórias (e deveríamos ligar, ter empatia), mas quando afetam alguém especial é totalmente diferente.",not_toxic,not_toxic,NOT_TOXIC,109.0,47.39
rt @user mano pleno século 21 e tem namoradinho te chamando na dm surtando pq vc curtiu algo da namorada dele ??????? mano kkkkkkk vai…,not_toxic,not_toxic,NOT_TOXIC,103.6,47.67
4 pessoas vieram falar que eu tava feia hoje na aula kkkkkkk que que sono e uma gripe nao faz nee,not_toxic,not_toxic,NOT_TOXIC,105.8,47.94
"@user a receita não aumentou! 

o real é que desvalorizou demais e portanto na conversão parece que é muito mais dinheiro...",not_toxic,not_toxic,NOT_TOXIC,107.1,48.22
"@user acredite não amor, eu sou um lixo",not_toxic,insult,INSULT,121.0,48.46
"[03/08/2019 10:07:29 AM]: Da uma segurada ai frozen,sua frieza fudeu com o sábado 
[03/08/2019 10:08:39 AM]: Lerigou
 [03/08/2019 10:08:56 AM]: Tomar no cu Dani",not_toxic,obscene,OBSCENE,104.4,48.75
"馃専 A fancam de 鈥楤oy With Luv鈥� do V representou o @user no #MGMA 2019 e deu o daesang THE TOP VIDEO ao grupo! 馃帀

V teve a fancam mais popular da M2 com 500 mil likes e 61 milh玫es de views! 馃惎馃挏

馃敆https://t.co/4AvBOukpb3
漏 vsnatchedmysoul https://t.co/h0nxE1njUF",not_toxic,not_toxic,NOT_TOXIC,106.9,49.06
cacete eu,not_toxic,obscene,OBSCENE,105.2,49.32
@user eita pau pereira!,not_toxic,insult,INSULT,124.1,49.56
@user comunista falando em dividir o povo kkk piada,not_toxic,not_toxic,NOT_TOXIC,107.7,49.84
@user por que o glenn tá de peruca?,not_toxic,not_toxic,NOT_TOXIC,107.0,50.11
"oitnb é uma série do caralho, última temporada e vieram problematizando mais do que nunca as péssimas condições das presidiárias, os abusos sexuais, pagamento igualitário entre homens e mulheres,questão das imigrantes nos eua. meu total respeito. #OITNBForever #OITNBfinalseason",not_toxic,not_toxic,NOT_TOXIC,102.8,50.39
a @user fica falando mal do blackpink mas no carro dela ela poe kiss and make up no volume maximo ✌🏻😭👍🏻,not_toxic,not_toxic,NOT_TOXIC,99.1,50.67
@user como eles adoram tirar foto assim...,not_toxic,not_toxic,NOT_TOXIC,104.5,50.93
"@user nem assim, c dorme 3h passa 2 seg",not_toxic,not_toxic,NOT_TOXIC,107.7,51.2
@user vc tá  vendo por onde?,not_toxic,not_toxic,NOT_TOXIC,108.1,51.47
não acredito q chorei assistindo capitão américa guerra civil por causa do tony stark,not_toxic,not_toxic,NOT_TOXIC,104.1,51.75
"Harry durante uma conversa com o Nick Grimshaw [Entrevistador] para a BBC rádio em 2012. 

N: ""Harry Styles está grávido, e o Louis Tomlinson é o pai. Você pode confirmar ou negar?""

H: ""Eu pensei que fosse verdade, e aparentemente não é.""

N: ""Você fez o teste? 

H: ""Sim."" https://t.co/cEqO0VVLDn",not_toxic,not_toxic,NOT_TOXIC,101.9,52.05
foto do séc,not_toxic,not_toxic,NOT_TOXIC,101.1,52.32
"não sei pra onde vou pqp, se vou pro ngm da clara ou curto o aniversário da minha fecha",not_toxic,obscene,OBSCENE,112.3,52.59
ai que gostoso,not_toxic,not_toxic,NOT_TOXIC,106.9,52.86
só quero tomar um vinhozinho com minha miga e chorar,not_toxic,not_toxic,NOT_TOXIC,108.1,53.13
vou deixar isso aqui https://t.co/rheifjtgvo,not_toxic,not_toxic,NOT_TOXIC,106.2,53.4
"@user falar igual meu amigo rodsflora "" a que pinto chegamos?""",not_toxic,not_toxic,NOT_TOXIC,104.8,53.67
"rt @user s
t
f

superior tribunal de fuleiros 
#stfvergonhanacional",not_toxic,not_toxic,NOT_TOXIC,107.4,53.95
"hum to triste vou tentar fazer esse vídeo chegar a 1m
https://t.co/n55uitfhjj",not_toxic,not_toxic,NOT_TOXIC,106.9,54.22
"@user a história da Barbara Querino que está presa depois de sofrer vários erros processuais e ser reconhecida pela vítima por causa dos cabelos encaracolados. 5 anos de prisão. insiste ser inocente, ngn a ouve.",not_toxic,not_toxic,NOT_TOXIC,98.0,54.5
"frio dms pra roupa que eu queria usar, af vsf",not_toxic,not_toxic,NOT_TOXIC,100.8,54.77
"mas pqp viu mano vai fazer algo que tu gosta sla, so nao fica falando merda nao vlw",not_toxic,not_toxic,NOT_TOXIC,106.9,55.05
"fico olhando nossas fotos e fico, “pqp eu sou um verme que deixou uma pessoa assim escapar”",not_toxic,not_toxic,NOT_TOXIC,106.8,55.32
"O maior monopólio de ensino do mundo quer usar a educação básica pra gerar mais lucro. A Constituição Federal garante que a educação é responsabilidade do Estado. Nossa luta continua sendo pela educação pública, gratuita e de qualidade! Dia 13 vamos às ruas! 👊 #Tsunami13A https://t.co/cOfucid3yc",not_toxic,not_toxic,NOT_TOXIC,101.6,55.61
"Minha vida toda ajudei pessoas, incentivei pessoas, fiz com que pessoas sa铆ssem da posi莽茫o de v铆tima para protagonista da vida. Estar de m茫os dadas com aqueles que mais precisam, talvez seja esse o sentido da vida.",not_toxic,not_toxic,NOT_TOXIC,104.1,55.91
"Hoje temos o inicio da Ginastica Ritmítica nos Jogos Pan-Americanos. Teremos a classificação do individual geral.
Bárbara Domingos (no Aro e Bola); Natália Gaudio (Bola e Bola); Além do conjunto de 5 bolas.

#PanNaRecordNews #ZDCnoPan #Lima2019 #PanNoSportv https://t.co/sWvaoQsVj2",not_toxic,not_toxic,NOT_TOXIC,107.7,56.21
"rt @user eu n茫o conquisto nada, acho q sou o internacional https://t.co/e60rwerzow",not_toxic,xenophobia,XENOPHOBIA,97.6,56.51
"meu deus vai se foder ate parece que elas tem liberdade pra fazerem o que querem ne

eh tudo 100% coreografado e planejado e elas obviamente sao obrigadas a seguir isso",not_toxic,misogyny,MISOGYNY,102.6,56.8
@user maria flor #mpn #nowunited #uniters,not_toxic,not_toxic,NOT_TOXIC,108.2,57.07
depois q eu quase morri no hospital eu dou muito valor nisso,not_toxic,not_toxic,NOT_TOXIC,106.5,57.34
"tô vendo vôlei do brasil e pqp 
tá uma merda",not_toxic,not_toxic,NOT_TOXIC,107.0,57.61
mano eu não estou com raiva... estou com ódio q é bem pior.,not_toxic,not_toxic,NOT_TOXIC,107.1,57.88
"esse ngc de ""fé nas malucas"" mano, só os doentes acham isso certo vai se fuder, bando de menina doente",not_toxic,not_toxic,NOT_TOXIC,105.2,58.16
@user poxa mona ent茫o semana q vem e nos cacete rs,not_toxic,not_toxic,NOT_TOXIC,107.2,58.43
acho um cu quando fazem as coisas sem nem ao menos avisar.,not_toxic,obscene,OBSCENE,110.3,58.69
